Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
VINO11;Lajes Corporativas;57.88;39483.0;0.35;0.6%;1.93%;3.98%;0,00%;0.64%;0.66%;0,00%;5.09%;0.12%;0.72%;-8.03%;601.954.453,80;60.54;96.0;0.59%;-0.45%;0.15%;2.95%;4.9%;;7
HSML11;Shoppings;93.5;44163.0;0.26;0.28%;0.69%;1.44%;4.74%;0.23%;0.24%;0.39%;2.45%;6.29%;6.59%;-22.91%;1.571.852.484,69;99.61;94.0;0.18%;-0.67%;-0.49%;5.78%;3.7%;;5
OUJP11;Títulos e Val. Mob.;106;7164.0;0.46;0.44%;1.48%;3.38%;7.18%;0.49%;0.56%;0.6%;4.76%;2.01%;2.46%;-3.94%;231.018.642,32;101.16;105.0;0.49%;0.13%;0.62%;2.76%;;;0
KNRI11;Híbrido;165.97;24047.0;0.65;0.4%;1.19%;2.4%;4.94%;0.4%;0.4%;0.41%;3.24%;4.83%;5.24%;-6.52%;3.705.748.669,61;157.02;106.0;0.41%;0.07%;0.49%;7.33%;5.91%;9.3%;19
RBCO11;Lajes Corporativas;82.4;895.0;0.4;0.48%;1.33%;3.05%;6.54%;0.44%;0.51%;0.54%;4.83%;-4.56%;-4.1%;-38.87%;386.900.488,34;102.38;80.0;0.34%;0.06%;0.4%;-4.15%;25,00%;14,00%;3
FIIB11;Híbrido;468.13;1018.0;2.37;0.51%;1.23%;2.49%;5.42%;0.41%;0.41%;0.45%;3.01%;-2.55%;-2.05%;-19.3%;291.390.629,70;425.39;110.0;0.56%;0.23%;0.78%;4.55%;2.58%;;1
VVPR11;Híbrido;100.99;84.0;0.49;0.48%;1.65%;3.56%;0,00%;0.55%;0.59%;0,00%;4.21%;-1.07%;-0.59%;-0.68%;189.998.963,95;100.4;101.0;0.53%;0.25%;0.79%;5.23%;0,00%;;4
LVBI11;Logística;122.79;36579.0;0.67;0.54%;1.6%;3.17%;5.86%;0.53%;0.53%;0.49%;3.69%;-7.84%;-7.34%;3.41%;816.942.781,76;108.38;113.0;0.63%;5.37%;6.04%;9.32%;7,00%;1,00%;6
NSLU11;Hospital;274.79;2957.0;1.69;0.6%;3.49%;5.63%;9.71%;1.16%;0.94%;0.81%;6.32%;0.9%;1.51%;19.96%;218.378.816,31;190.76;144.0;0.89%;0,00%;0.88%;8.9%;0,00%;;1
KNCR11;Títulos e Val. Mob.;88.63;29966.0;0.27;0.3%;0.97%;2.16%;4.92%;0.32%;0.36%;0.41%;3.03%;1.44%;1.75%;-12.06%;3.807.860.752,42;97.39;91.0;0.31%;-2.53%;-2.23%;-4.67%;;;0
HABT11;Títulos e Val. Mob.;111;5990.0;0.97;0.89%;2.38%;4.79%;0,00%;0.79%;0.8%;0,00%;6.6%;6.14%;7.08%;0.62%;389.634.235,42;101.77;109.0;0.9%;0.43%;1.33%;6.33%;;;0
